parcel 107: rho 0.19343241794332452, p-value 0.11819999999999993
parcel 108: rho 0.1753975993371513, p-value 0.1864
parcel 109: rho 0.15664331032117723, p-value 0.28319999999999995
parcel 110: rho 0.20152722163410794, p-value 0.09450000000000003
parcel 111: rho 0.19853635997398653, p-value 0.10239999999999995
parcel 112: rho 0.1862142346346346, p-value 0.14319999999999994
parcel 113: rho 0.17936758756228785, p-value 0.17099999999999993
parcel 114: rho 0.1935293356115746, p-value 0.11780000000000002
parcel 115: rho 0.21170657762588904, p-value 0.0689
parcel 116: rho 0.17534669612234982, p-value 0.1864
parcel 117: rho 0.18300223396487647, p-value 0.15629999999999997
parcel 118: rho 0.22467034226357474, p-value 0.04349999999999994
parcel 119: rho 0.16761434367866343, p-value 0.22299999999999998
parcel 120: rho 0.12113710953025932, p-value 0.5146999999999999
parcel 121: rho 0.14102613140892556, p-value 0.38049999999999995
parcel 122: rho 0.13311862426900475, p-value 0.4353
parcel 123: rho 0.13837230537319448, p-value 0.3978
parcel 124: rho 0.12651368638680247, p-value 0.4794
parcel 125: rho 0.19912716584948917, p-value 0.10090000000000003
parcel 126: rho 0.19199978773889573, p-value 0.12209999999999993
parcel 127: rho 0.20161506027236054, p-value 0.09439999999999998
parcel 128: rho 0.15137707881002052, p-value 0.3152
parcel 129: rho 0.08316947395370874, p-value 0.7587999999999999
parcel 130: rho 0.14520479498964084, p-value 0.3559999999999999
parcel 131: rho 0.13514656473874787, p-value 0.4203
parcel 132: rho 0.13046268224158092, p-value 0.4537
parcel 133: rho 0.1223430200032435, p-value 0.5063
parcel 134: rho 0.12403504782317368, p-value 0.49579999999999996
parcel 135: rho 0.111317292890378, p-value 0.5855
parcel 136: rho 0.1626111576454199, p-value 0.2514
parcel 137: rho 0.23079076228410267, p-value 0.03569999999999993
parcel 138: rho 0.231391017121426, p-value 0.03469999999999999
parcel 139: rho 0.1899295859963765, p-value 0.12950000000000003
parcel 140: rho 0.1416726637088469, p-value 0.3765
parcel 141: rho 0.11873370224125068, p-value 0.5305
parcel 142: rho 0.2208566789985885, p-value 0.050100000000000054
parcel 143: rho 0.22040776455367955, p-value 0.05069999999999993
parcel 144: rho 0.07579826848386033, p-value 0.795
parcel 145: rho 0.12391187359054445, p-value 0.49629999999999996
parcel 146: rho 0.11650822998179854, p-value 0.5473
parcel 147: rho 0.21137414036407837, p-value 0.06969999999999998
parcel 148: rho 0.20466460746768367, p-value 0.08480000000000004
parcel 149: rho 0.1824800033415983, p-value 0.15780000000000002
parcel 150: rho 0.1542290326749317, p-value 0.2970999999999999
parcel 151: rho 0.1489486625024282, p-value 0.33429999999999993
parcel 152: rho 0.1632873414478652, p-value 0.24760000000000004
parcel 153: rho 0.15322456039378124, p-value 0.30340000000000006
parcel 154: rho 0.19338008370662815, p-value 0.11849999999999994
parcel 155: rho 0.2382047870186873, p-value 0.02739999999999995
parcel 156: rho 0.1557476263024881, p-value 0.28769999999999996
parcel 157: rho 0.10574785022125806, p-value 0.6219
parcel 158: rho 0.08546408965682888, p-value 0.7442
parcel 159: rho 0.08391842854866617, p-value 0.7545000000000001
parcel 160: rho 0.15186920319425842, p-value 0.31200000000000006
parcel 161: rho 0.150566830591747, p-value 0.32170000000000004
parcel 162: rho 0.14148987074558947, p-value 0.3774
parcel 163: rho 0.2168795910162299, p-value 0.05700000000000003
parcel 164: rho 0.11783984461768758, p-value 0.5361
parcel 165: rho 0.13333134870487415, p-value 0.434
parcel 166: rho 0.15915532468856647, p-value 0.2681
parcel 167: rho 0.12305429919650243, p-value 0.5022
parcel 168: rho 0.11759491903765747, p-value 0.5374
parcel 169: rho 0.13886208811649559, p-value 0.395
parcel 170: rho 0.1765051010690998, p-value 0.18189999999999998
parcel 171: rho 0.1144769409872899, p-value 0.5627
parcel 172: rho 0.06717092466954537, p-value 0.8349
parcel 173: rho 0.0840833437658195, p-value 0.7533
parcel 174: rho 0.12275906701414659, p-value 0.5041
parcel 175: rho 0.1331092084268547, p-value 0.4353
parcel 176: rho 0.1671346394001276, p-value 0.2253
parcel 177: rho 0.1551393286568357, p-value 0.29069999999999996
parcel 178: rho 0.1847816373206746, p-value 0.14929999999999993
parcel 179: rho 0.15486661063067456, p-value 0.29200000000000004
parcel 180: rho 0.1939076463676819, p-value 0.11679999999999993
parcel 181: rho 0.13117717622031236, p-value 0.449
parcel 182: rho 0.08787407492499538, p-value 0.7306999999999999
parcel 183: rho 0.15064302921287273, p-value 0.32099999999999995
parcel 184: rho 0.15445065037268046, p-value 0.2956999999999999
parcel 185: rho 0.15536621960207955, p-value 0.28929999999999995
parcel 186: rho 0.13587627222101015, p-value 0.41479999999999995
parcel 187: rho 0.17586964621030773, p-value 0.18469999999999998
parcel 188: rho 0.09385605277391833, p-value 0.6968000000000001
parcel 189: rho 0.17872538591715836, p-value 0.17340000000000003
parcel 190: rho 0.15875288298625143, p-value 0.27049999999999996
parcel 191: rho 0.16823072940001485, p-value 0.21959999999999993
parcel 192: rho 0.13433652864680792, p-value 0.4261
parcel 193: rho 0.1042557336502828, p-value 0.6314
parcel 194: rho 0.16518866278082597, p-value 0.2372
parcel 195: rho 0.20153025787132126, p-value 0.09450000000000003
parcel 196: rho 0.053741014648532606, p-value 0.8901
parcel 197: rho 0.17537770438536177, p-value 0.1864
parcel 198: rho 0.10689914647191291, p-value 0.6158
parcel 199: rho 0.20154535849292962, p-value 0.09439999999999998
parcel 200: rho 0.2080570826091516, p-value 0.07629999999999995
parcel 201: rho 0.05423587959956753, p-value 0.8881999999999999
