parcel 101: rho 0.11594931677949358 , p-value 0.5537 
parcel 102: rho 0.18657636902538427 , p-value 0.14269999999999997 
parcel 103: rho 0.16835582328505713 , p-value 0.22310000000000002 
parcel 104: rho 0.1822192481359472 , p-value 0.15950000000000003 
parcel 105: rho 0.21741296436793522 , p-value 0.05719999999999999 
parcel 106: rho 0.17998537188287858 , p-value 0.16700000000000004 
parcel 107: rho 0.167986760945222 , p-value 0.22480000000000003 
parcel 108: rho 0.14848685300174624 , p-value 0.3367 
parcel 109: rho 0.19292497625218233 , p-value 0.11780000000000002 
parcel 110: rho 0.19550942249446432 , p-value 0.10980000000000004 
parcel 111: rho 0.17126017757807682 , p-value 0.2086 
parcel 112: rho 0.16345808933263464 , p-value 0.24799999999999997 
parcel 113: rho 0.18192345853951722 , p-value 0.16079999999999997 
parcel 114: rho 0.1972776204853082 , p-value 0.10450000000000002 
parcel 115: rho 0.16527299155919353 , p-value 0.23840000000000003 
parcel 116: rho 0.1720351095567436 , p-value 0.20510000000000006 
parcel 117: rho 0.22970425807068276 , p-value 0.038599999999999995 
parcel 118: rho 0.17751085819159532 , p-value 0.17760000000000006 
parcel 119: rho 0.13297232343581314 , p-value 0.4336 
parcel 120: rho 0.14018105766372 , p-value 0.38909999999999995 
parcel 121: rho 0.1295882711752254 , p-value 0.45630000000000004 
parcel 122: rho 0.14131224590077676 , p-value 0.3814 
parcel 123: rho 0.12515349520264135 , p-value 0.491 
parcel 124: rho 0.1929215434957851 , p-value 0.11780000000000002 
parcel 125: rho 0.17452997694702957 , p-value 0.19260000000000005 
parcel 126: rho 0.1975945853548416 , p-value 0.10349999999999994 
parcel 127: rho 0.15768915128195973 , p-value 0.28180000000000005 
parcel 128: rho 0.08671395251282125 , p-value 0.7365 
parcel 129: rho 0.12575231671616902 , p-value 0.48560000000000003 
parcel 130: rho 0.12135862907509726 , p-value 0.5178 
parcel 131: rho 0.11333252121457377 , p-value 0.5709000000000001 
parcel 132: rho 0.09723427602811519 , p-value 0.6740999999999999 
