parcel 100: rho 0.16733839388353727 , p-value 0.34769999999999995 
parcel 101: rho 0.16472533429730168 , p-value 0.3617 
parcel 102: rho 0.22152328218919282 , p-value 0.11290000000000006 
parcel 103: rho 0.22084465054877406 , p-value 0.115 
parcel 104: rho 0.23437135581221383 , p-value 0.08019999999999997 
parcel 105: rho 0.22321627085496978 , p-value 0.10900000000000006 
parcel 106: rho 0.21632156211349018 , p-value 0.12890000000000001 
parcel 107: rho 0.15914957783007033 , p-value 0.39399999999999996 
parcel 108: rho 0.15872037025780894 , p-value 0.3962 
parcel 109: rho 0.2629414211513161 , p-value 0.03469999999999999 
parcel 110: rho 0.25703129530811075 , p-value 0.0411 
parcel 111: rho 0.2378624474915572 , p-value 0.07349999999999994 
parcel 112: rho 0.25299765189286655 , p-value 0.04709999999999994 
parcel 113: rho 0.22252499380067442 , p-value 0.11 
parcel 114: rho 0.20392193088136057 , p-value 0.17260000000000006 
parcel 115: rho 0.23474146127906872 , p-value 0.07950000000000003 
parcel 116: rho 0.2658091056255556 , p-value 0.03170000000000002 
parcel 117: rho 0.2224508314126989 , p-value 0.11040000000000007 
parcel 118: rho 0.1488945723630095 , p-value 0.4556 
parcel 119: rho 0.17566870679565766 , p-value 0.3037 
parcel 120: rho 0.1832783948463263 , p-value 0.26530000000000004 
parcel 121: rho 0.22016113195062137 , p-value 0.11700000000000003 
parcel 122: rho 0.11585090540923285 , p-value 0.6528 
parcel 123: rho 0.12235720582041791 , p-value 0.6113000000000001 
parcel 124: rho 0.20401636117020905 , p-value 0.1722 
parcel 125: rho 0.18770184282503619 , p-value 0.24299999999999997 
parcel 126: rho 0.1782193947850559 , p-value 0.29230000000000006 
parcel 127: rho 0.20650225136331532 , p-value 0.1611 
parcel 128: rho 0.177533591338707 , p-value 0.2956999999999999 
parcel 129: rho 0.1600167332412799 , p-value 0.3889 
parcel 130: rho 0.18580521146920512 , p-value 0.2536 
parcel 131: rho 0.2019381942911698 , p-value 0.17959999999999993 
parcel 132: rho 0.17948931460225864 , p-value 0.28489999999999993 
parcel 133: rho 0.18515532512266314 , p-value 0.25670000000000004 
parcel 134: rho 0.13327037843830056 , p-value 0.5434 
parcel 135: rho 0.18788043121699796 , p-value 0.24239999999999995 
parcel 136: rho 0.22041787824057696 , p-value 0.1161 
parcel 137: rho 0.19597354283740775 , p-value 0.20079999999999998 
parcel 138: rho 0.2062934121024504 , p-value 0.16219999999999998 
parcel 139: rho 0.1792410349410828 , p-value 0.28620000000000007 
parcel 140: rho 0.14961604306585896 , p-value 0.4526 
parcel 141: rho 0.10798048490646907 , p-value 0.6975 
parcel 142: rho 0.09792305988841991 , p-value 0.7487999999999999 
parcel 143: rho 0.10050467944226013 , p-value 0.7363 
parcel 144: rho 0.16604250480919502 , p-value 0.35400000000000004 
parcel 145: rho 0.10977037651667412 , p-value 0.6872 
parcel 146: rho 0.049555259121256655 , p-value 0.9220999999999999 
parcel 147: rho 0.05162584062154573 , p-value 0.9177 
parcel 148: rho 0.19140077269240477 , p-value 0.22219999999999998 
parcel 149: rho 0.13417496558895323 , p-value 0.5375 
parcel 150: rho 0.1576143875905141 , p-value 0.4022 
parcel 151: rho 0.14593207150419968 , p-value 0.4718 
parcel 152: rho 0.153349249905207 , p-value 0.4282 
