parcel 104: rho -0.0054764848653197215 , p-value 0.9892 
parcel 105: rho -0.06028954570828552 , p-value 0.9995 
parcel 106: rho -0.046127267671000775 , p-value 0.9990000000000001 
parcel 107: rho 0.07207146024359672 , p-value 0.8601000000000001 
parcel 108: rho 0.07583488629842158 , p-value 0.8499 
parcel 109: rho -0.05574168474922925 , p-value 0.9993000000000001 
parcel 110: rho -0.053591263634501736 , p-value 0.9992 
parcel 111: rho 0.0014251174825951115 , p-value 0.9852 
parcel 112: rho 0.05539566251074735 , p-value 0.9118 
parcel 113: rho 0.013638883879367826 , p-value 0.9778 
parcel 114: rho 0.010517354933566947 , p-value 0.9804 
parcel 115: rho 0.04018342202978365 , p-value 0.9440000000000001 
parcel 116: rho 0.0866749783932682 , p-value 0.8073999999999999 
parcel 117: rho 0.07495963891670622 , p-value 0.852 
parcel 118: rho -0.026576784088482713 , p-value 0.9969 
parcel 119: rho -0.037102469001073314 , p-value 0.9984999999999999 
parcel 120: rho -0.008566241693633184 , p-value 0.991 
parcel 121: rho -0.02677877725227551 , p-value 0.9971 
parcel 122: rho -0.008601592858948008 , p-value 0.991 
parcel 123: rho -0.05472090761259605 , p-value 0.9992 
parcel 124: rho -0.024625017496629664 , p-value 0.9967 
parcel 125: rho 0.04244058644893051 , p-value 0.9397 
parcel 126: rho 0.07695732632355845 , p-value 0.846 
parcel 127: rho 0.011862658354142089 , p-value 0.9793000000000001 
parcel 128: rho -0.0521947642041188 , p-value 0.9992 
parcel 129: rho 0.00671520903597568 , p-value 0.9828 
parcel 130: rho 0.019285079169928082 , p-value 0.9732 
parcel 131: rho 0.009329434692781248 , p-value 0.9812000000000001 
parcel 132: rho -0.017469369016771256 , p-value 0.9944 
parcel 133: rho -0.05427391665052912 , p-value 0.9992 
parcel 134: rho -0.003177396897601125 , p-value 0.9883 
parcel 135: rho 0.026917719949599586 , p-value 0.9648 
parcel 136: rho 0.002003810388543311 , p-value 0.9852 
parcel 137: rho 0.034557531779613904 , p-value 0.9549 
parcel 138: rho -0.07560653768172863 , p-value 0.9997 
parcel 139: rho -0.021787028265535094 , p-value 0.9959 
parcel 140: rho 0.0273508716363043 , p-value 0.9645 
parcel 141: rho -0.05478886824974441 , p-value 0.9992 
parcel 142: rho -0.040772419644850226 , p-value 0.9986 
parcel 143: rho 0.01519185232421217 , p-value 0.9769 
parcel 144: rho 0.02813119119155398 , p-value 0.9637 
parcel 145: rho 0.0419983111079368 , p-value 0.9404 
parcel 146: rho -0.04072343739632713 , p-value 0.9986 
parcel 147: rho 0.0010521486905820875 , p-value 0.9854 
parcel 148: rho 0.042356312993515804 , p-value 0.9399 
parcel 149: rho -0.07117950280473093 , p-value 0.9997 
parcel 150: rho -0.05435993107843837 , p-value 0.9992 
parcel 151: rho -0.03737705060635313 , p-value 0.9984999999999999 
parcel 152: rho -0.0162437920201375 , p-value 0.9940000000000001 
parcel 153: rho -0.0755142811577847 , p-value 0.9997 
parcel 154: rho -0.051342145566961726 , p-value 0.9991 
parcel 155: rho -0.05144956721553031 , p-value 0.9991 
parcel 156: rho -0.06957057824742202 , p-value 0.9997 
parcel 157: rho -0.0713446083542841 , p-value 0.9997 
parcel 158: rho -0.017142125229075145 , p-value 0.9943000000000001 
parcel 159: rho 0.07193784926020676 , p-value 0.8606 
parcel 160: rho 0.03763423246065089 , p-value 0.9498000000000001 
parcel 161: rho 0.029280802127075123 , p-value 0.9628 
parcel 162: rho -0.009170745611656018 , p-value 0.9912000000000001 
parcel 163: rho -0.011370272789623721 , p-value 0.9923000000000001 
parcel 164: rho 0.005409364677885408 , p-value 0.9834999999999999 
parcel 165: rho 0.041528763626563235 , p-value 0.9412999999999999 
parcel 166: rho -0.015901241294108342 , p-value 0.9939 
parcel 167: rho -0.00014673534340410444 , p-value 0.9856999999999999 
parcel 168: rho 0.061198439854020015 , p-value 0.8963 
parcel 169: rho -0.0070692355519892565 , p-value 0.9899 
parcel 170: rho -0.04452627814669658 , p-value 0.9990000000000001 
parcel 171: rho -0.03690585226208471 , p-value 0.9984999999999999 
parcel 172: rho -0.028545020903793426 , p-value 0.9972 
parcel 173: rho -0.001099499794850444 , p-value 0.9861 
parcel 174: rho 0.019709510517320464 , p-value 0.9726 
parcel 175: rho -0.059955258009618165 , p-value 0.9994 
parcel 176: rho -0.05102464393392392 , p-value 0.9991 
parcel 177: rho -0.03451251733420131 , p-value 0.9982 
parcel 178: rho -0.01691543997139202 , p-value 0.9942 
parcel 179: rho -0.0747640849207062 , p-value 0.9997 
parcel 180: rho -0.10211788511900001 , p-value 1.0 
parcel 181: rho -0.018316810823033866 , p-value 0.9948999999999999 
parcel 182: rho -0.028007148907575097 , p-value 0.9972 
parcel 183: rho -0.04033517977961559 , p-value 0.9986 
parcel 184: rho -0.004705630257333908 , p-value 0.9890000000000001 
parcel 185: rho -0.04257601498651042 , p-value 0.9989 
parcel 186: rho -0.03526019761037074 , p-value 0.9983 
parcel 187: rho -0.019409813555246982 , p-value 0.9951000000000001 
parcel 188: rho 0.0009718603494096147 , p-value 0.9854 
parcel 189: rho 0.0124052228134958 , p-value 0.9788 
parcel 190: rho 0.008575416364171373 , p-value 0.982 
parcel 191: rho -0.005595124700475172 , p-value 0.9892 
parcel 192: rho 0.0250443691159659 , p-value 0.9677 
parcel 193: rho 0.04463198014641635 , p-value 0.9357 
parcel 194: rho 0.07487029444612288 , p-value 0.8521000000000001 
parcel 195: rho -0.048833234071738896 , p-value 0.9990000000000001 
parcel 196: rho 0.021394123011201496 , p-value 0.9712000000000001 
parcel 197: rho 0.05917535392153036 , p-value 0.9018999999999999 
parcel 198: rho -0.04034873382255543 , p-value 0.9986 
parcel 199: rho 0.04945577767940206 , p-value 0.9248000000000001 
parcel 200: rho -0.05374755025154192 , p-value 0.9992 
parcel 201: rho 0.030048693092234888 , p-value 0.9614 
parcel 202: rho 0.05555472005529925 , p-value 0.9114 
parcel 203: rho 0.022695734281685528 , p-value 0.9701000000000001 
parcel 204: rho -0.037608317352499275 , p-value 0.9984999999999999 
parcel 205: rho -0.03500108447577252 , p-value 0.9982 
parcel 206: rho 0.02085088410556928 , p-value 0.9715 
parcel 207: rho 0.03919849097340398 , p-value 0.9468000000000001 
parcel 208: rho -0.005550422657936783 , p-value 0.9892 
parcel 209: rho -0.05863335740486978 , p-value 0.9993000000000001 
parcel 210: rho 0.05563451084473814 , p-value 0.9112 
parcel 211: rho 0.07762414045654223 , p-value 0.8434 
parcel 212: rho 0.066641606981467 , p-value 0.877 
parcel 213: rho -0.012097887859095434 , p-value 0.9926999999999999 
parcel 214: rho -0.0007877835191130696 , p-value 0.9858 
parcel 215: rho 0.03140245936336807 , p-value 0.9590000000000001 
