parcel 105: rho 0.04393259631798045 , p-value 0.9386 
parcel 106: rho 0.07551511056468502 , p-value 0.851 
parcel 107: rho 0.051803129537465395 , p-value 0.9217 
parcel 108: rho 0.0677459841727809 , p-value 0.8798999999999999 
parcel 109: rho 0.05290042202703558 , p-value 0.9189 
parcel 110: rho -0.00023206399346315917 , p-value 0.9863 
parcel 111: rho 0.05014280207671653 , p-value 0.9258 
parcel 112: rho 0.038026807319959874 , p-value 0.9487000000000001 
parcel 113: rho 0.13109196234568107 , p-value 0.5881000000000001 
parcel 114: rho 0.17047731156014767 , p-value 0.36119999999999997 
parcel 115: rho 0.15606521814016025 , p-value 0.4393 
parcel 116: rho 0.04336519563264956 , p-value 0.9399 
parcel 117: rho 0.020812131318942897 , p-value 0.9697 
parcel 118: rho 0.030798824433951266 , p-value 0.9571999999999999 
parcel 119: rho -0.01985808067571232 , p-value 0.9941 
parcel 120: rho -0.06823069193192047 , p-value 0.9997 
parcel 121: rho -0.027890959096931726 , p-value 0.9958 
parcel 122: rho 0.02130409494527627 , p-value 0.9688 
parcel 123: rho 0.01851947292189559 , p-value 0.972 
parcel 124: rho 0.03272398286456799 , p-value 0.9551999999999999 
parcel 125: rho 0.055444687713705525 , p-value 0.912 
parcel 126: rho 0.05485850306591028 , p-value 0.9134 
parcel 127: rho -0.00284249108067538 , p-value 0.9875 
parcel 128: rho -0.039694796681246196 , p-value 0.9976999999999999 
parcel 129: rho 0.0036220026862447212 , p-value 0.9841 
parcel 130: rho 0.022788795870733482 , p-value 0.9675 
parcel 131: rho -0.005840188406967461 , p-value 0.9891 
parcel 132: rho -0.013560623849344715 , p-value 0.9922 
parcel 133: rho -0.06191622695066795 , p-value 0.9994 
parcel 134: rho -0.016723367098102095 , p-value 0.9934000000000001 
parcel 135: rho 0.07219146259128463 , p-value 0.8634000000000001 
parcel 136: rho 0.04254234627848867 , p-value 0.9419 
parcel 137: rho 0.03313188678545152 , p-value 0.9549 
parcel 138: rho 0.07234989153938061 , p-value 0.8628999999999999 
parcel 139: rho 0.06353170141826617 , p-value 0.8915000000000001 
parcel 140: rho -0.021420889538088902 , p-value 0.9948 
parcel 141: rho 0.06397675567867966 , p-value 0.8901 
parcel 142: rho 0.063601614027808 , p-value 0.8912 
parcel 143: rho 0.015012176366652356 , p-value 0.9741 
parcel 144: rho -0.05082487412992017 , p-value 0.9986 
parcel 145: rho -0.0665791912039305 , p-value 0.9995999999999999 
parcel 146: rho 0.16455281828745014 , p-value 0.396 
parcel 147: rho 0.10712464581698594 , p-value 0.7134 
parcel 148: rho 0.04979282604303787 , p-value 0.9268000000000001 
parcel 149: rho 0.05344045289888451 , p-value 0.9176000000000001 
parcel 150: rho 0.07032300089829807 , p-value 0.8690000000000001 
parcel 151: rho -0.007998696959847201 , p-value 0.9908 
parcel 152: rho 0.029855133310048267 , p-value 0.9589 
parcel 153: rho 0.03823417344749766 , p-value 0.9486 
parcel 154: rho 0.0010267990683697137 , p-value 0.9856 
parcel 155: rho 0.015218011846890917 , p-value 0.9739 
parcel 156: rho 0.05018493081717228 , p-value 0.9258 
parcel 157: rho 0.06705839708290721 , p-value 0.882 
parcel 158: rho -0.07461612268507041 , p-value 0.9998 
parcel 159: rho 0.09355781070572516 , p-value 0.7798999999999999 
parcel 160: rho 0.14064870583319464 , p-value 0.5347 
parcel 161: rho 0.15380770548019462 , p-value 0.4525 
parcel 162: rho 0.06172387015159434 , p-value 0.897 
parcel 163: rho 0.10736837225184181 , p-value 0.7127 
parcel 164: rho 0.07637502500848783 , p-value 0.8469 
parcel 165: rho 0.09703350468893122 , p-value 0.7634000000000001 
parcel 166: rho 0.019236279651554007 , p-value 0.9715 
parcel 167: rho 0.06280503607922441 , p-value 0.894 
parcel 168: rho 0.036715512154167025 , p-value 0.9506 
parcel 169: rho 0.0043211309209326716 , p-value 0.9838 
parcel 170: rho -0.009770781033828425 , p-value 0.9913 
parcel 171: rho 0.049554193743585634 , p-value 0.9273 
parcel 172: rho 0.08816508559051105 , p-value 0.8038 
parcel 173: rho 0.12488240874324015 , p-value 0.6214 
parcel 174: rho 0.07156086232398001 , p-value 0.8656 
parcel 175: rho 0.07281339881727286 , p-value 0.8612000000000001 
parcel 176: rho 0.08705917334250231 , p-value 0.8079 
parcel 177: rho 0.07661006194472073 , p-value 0.8459 
