parcel 105: rho 0.04651607674436817 , p-value 0.9161 
parcel 106: rho 0.06147706473080036 , p-value 0.8715 
parcel 107: rho 0.024892905424193295 , p-value 0.9584 
parcel 108: rho -0.0025038931188999616 , p-value 0.9901000000000001 
parcel 109: rho 0.07571238808229991 , p-value 0.8144 
parcel 110: rho 0.05971411542524599 , p-value 0.8769 
parcel 111: rho 0.07381396036372233 , p-value 0.8215 
parcel 112: rho 0.04321841162881626 , p-value 0.9246 
parcel 113: rho 0.02707858931563278 , p-value 0.9553 
parcel 114: rho 0.010193239312697612 , p-value 0.9777 
parcel 115: rho 0.018272630097240818 , p-value 0.9679000000000001 
parcel 116: rho 0.05909201594687114 , p-value 0.878 
parcel 117: rho 0.017007976653424236 , p-value 0.9698 
parcel 118: rho 0.013228236009666168 , p-value 0.975 
parcel 119: rho -0.005421866104247998 , p-value 0.9915 
parcel 120: rho 0.03304595711066162 , p-value 0.9467 
parcel 121: rho 0.030556709835080954 , p-value 0.9505 
parcel 122: rho -0.027090856650207017 , p-value 0.9971 
parcel 123: rho -0.05103962681543827 , p-value 0.9993000000000001 
parcel 124: rho 0.0370028832617616 , p-value 0.9381 
parcel 125: rho 0.05376143156703256 , p-value 0.8945000000000001 
parcel 126: rho 0.025495234378080014 , p-value 0.9573999999999999 
parcel 127: rho 0.02887849902012441 , p-value 0.9526 
parcel 128: rho 0.017025088989176405 , p-value 0.9698 
parcel 129: rho 0.026674274286828118 , p-value 0.9558 
parcel 130: rho -0.019643776367115694 , p-value 0.9959 
parcel 131: rho 0.05859202197538195 , p-value 0.8794 
parcel 132: rho -8.203864478065281e-05 , p-value 0.9884999999999999 
parcel 133: rho 0.04531433470939963 , p-value 0.9186 
parcel 134: rho 0.019307451716132545 , p-value 0.9664 
parcel 135: rho 0.03491857034150321 , p-value 0.9428 
parcel 136: rho 0.0673733881555588 , p-value 0.8473999999999999 
parcel 137: rho 0.07478093083037675 , p-value 0.8181 
parcel 138: rho -0.0005680197393974323 , p-value 0.9890000000000001 
parcel 139: rho -0.0061852523936291445 , p-value 0.9917 
parcel 140: rho 0.04146056156780587 , p-value 0.9292 
parcel 141: rho 0.04482769963547198 , p-value 0.9206 
parcel 142: rho 0.02963914233202017 , p-value 0.9519 
parcel 143: rho 0.005016165823889139 , p-value 0.9838 
parcel 144: rho 0.05692151010175646 , p-value 0.8837999999999999 
parcel 145: rho 0.003324337812890885 , p-value 0.9849 
parcel 146: rho -0.07967892116735774 , p-value 0.9998999999999999 
parcel 147: rho -0.017160461723468405 , p-value 0.9956 
parcel 148: rho 0.06549193649632307 , p-value 0.8545 
parcel 149: rho -0.0012700981103528509 , p-value 0.9894 
parcel 150: rho 0.008368711379130526 , p-value 0.9801000000000001 
parcel 151: rho 0.020314520379864583 , p-value 0.9652 
parcel 152: rho 0.07389916506955983 , p-value 0.8212 
parcel 153: rho 0.14046890383068633 , p-value 0.4243 
parcel 154: rho 0.058919741305590786 , p-value 0.8789 
parcel 155: rho -0.061491303219475636 , p-value 0.9998 
parcel 156: rho 0.015551280378601836 , p-value 0.9717 
parcel 157: rho 0.011648766854482491 , p-value 0.976 
parcel 158: rho 0.04030133334909814 , p-value 0.9312 
parcel 159: rho 0.0862297906359021 , p-value 0.7618 
parcel 160: rho 0.03188736210416527 , p-value 0.9490999999999999 
parcel 161: rho 0.016032517112599794 , p-value 0.9712999999999999 
parcel 162: rho 0.049523558017557714 , p-value 0.9073 
parcel 163: rho 0.000542791891501754 , p-value 0.9878 
parcel 164: rho 0.019463057135038216 , p-value 0.9661 
parcel 165: rho 0.04137569245338099 , p-value 0.9292 
parcel 166: rho 0.08347708431737012 , p-value 0.7757999999999999 
parcel 167: rho 0.06055609867347413 , p-value 0.8745 
parcel 168: rho 0.004340006882107409 , p-value 0.9840000000000001 
parcel 169: rho -0.023715459912581324 , p-value 0.9965 
parcel 170: rho 0.015744538515016233 , p-value 0.9715 
parcel 171: rho 0.07219232723803092 , p-value 0.8284999999999999 
parcel 172: rho 0.029197316146053667 , p-value 0.9523999999999999 
parcel 173: rho 0.036230085912722004 , p-value 0.94 
parcel 174: rho -0.01694644078843299 , p-value 0.9956 
parcel 175: rho -0.029895486861600287 , p-value 0.9976 
parcel 176: rho 0.0014637703599347856 , p-value 0.9872 
parcel 177: rho 0.04596612008065681 , p-value 0.9174 
parcel 178: rho -0.021043563293492176 , p-value 0.9962000000000001 
parcel 179: rho 0.0455351289138103 , p-value 0.9179999999999999 
parcel 180: rho 0.10123905549302963 , p-value 0.6758 
parcel 181: rho -0.004581807314867552 , p-value 0.991 
parcel 182: rho -0.029386865450532578 , p-value 0.9975 
parcel 183: rho -0.00160062284222782 , p-value 0.9898 
parcel 184: rho -0.0076980021420571315 , p-value 0.9925 
parcel 185: rho 0.08083659812059751 , p-value 0.789 
parcel 186: rho 0.011551857614755415 , p-value 0.9762000000000001 
parcel 187: rho -0.007050136837315552 , p-value 0.9921 
parcel 188: rho 0.03886279587523111 , p-value 0.9344 
parcel 189: rho 0.03306973027853436 , p-value 0.9466 
parcel 190: rho 0.02690006254858059 , p-value 0.9555 
parcel 191: rho 0.03762493887117477 , p-value 0.9362999999999999 
parcel 192: rho 0.0806589672879977 , p-value 0.7901 
parcel 193: rho 0.03742339982311434 , p-value 0.9369 
parcel 194: rho 0.014246356333917121 , p-value 0.9743999999999999 
parcel 195: rho 0.011444612134943074 , p-value 0.9762000000000001 
parcel 196: rho 0.08482527925583057 , p-value 0.7689 
parcel 197: rho -0.008529681591112854 , p-value 0.9931 
parcel 198: rho 0.05786042532292712 , p-value 0.8809999999999999 
parcel 199: rho 0.07027658000423517 , p-value 0.8370000000000001 
parcel 200: rho 0.061073183107675795 , p-value 0.8728999999999999 
parcel 201: rho -0.012481157177328776 , p-value 0.9947 
parcel 202: rho -0.04410835311407702 , p-value 0.9989 
parcel 203: rho -0.04553773573776761 , p-value 0.9990000000000001 
parcel 204: rho 0.026235856608588952 , p-value 0.9566 
parcel 205: rho -0.027815368649676334 , p-value 0.9971 
parcel 206: rho 0.11951386810183383 , p-value 0.5589999999999999 
parcel 207: rho 0.18225783035201917 , p-value 0.20069999999999993 
parcel 208: rho 0.025031851574186175 , p-value 0.958 
parcel 209: rho 0.028497667402857457 , p-value 0.9531999999999999 
parcel 210: rho 0.029615372727732552 , p-value 0.9519 
parcel 211: rho 0.04747539754547201 , p-value 0.9137000000000001 
parcel 212: rho 0.02285414851594906 , p-value 0.9612 
parcel 213: rho 0.004047324597928307 , p-value 0.9841 
parcel 214: rho 0.0768268800364536 , p-value 0.8103 
parcel 215: rho 0.031007126718834543 , p-value 0.9501000000000001 
parcel 216: rho 0.00662074313966132 , p-value 0.9821 
parcel 217: rho -0.041304516599107825 , p-value 0.9987999999999999 
parcel 218: rho -0.0008051712910435556 , p-value 0.9892 
parcel 219: rho -0.02759814994996471 , p-value 0.9971 
parcel 220: rho -0.01921310211358048 , p-value 0.9959 
parcel 221: rho 0.07592326347761347 , p-value 0.8134999999999999 
parcel 222: rho -0.0019439641923146792 , p-value 0.9899 
parcel 223: rho -0.045008638826769004 , p-value 0.9989 
parcel 224: rho -0.03136474624856198 , p-value 0.9978 
parcel 225: rho 0.008991605414105158 , p-value 0.9793000000000001 
