parcel 181: rho NA, p-value NA
parcel 182: rho NA, p-value NA
parcel 183: rho NA, p-value NA
parcel 184: rho NA, p-value NA
parcel 185: rho NA, p-value NA
parcel 186: rho NA, p-value NA
parcel 187: rho NA, p-value NA
parcel 188: rho NA, p-value NA
parcel 189: rho NA, p-value NA
parcel 190: rho NA, p-value NA
parcel 191: rho NA, p-value NA
parcel 192: rho NA, p-value NA
parcel 193: rho NA, p-value NA
parcel 194: rho NA, p-value NA
parcel 195: rho NA, p-value NA
parcel 196: rho NA, p-value NA
parcel 197: rho NA, p-value NA
parcel 198: rho NA, p-value NA
parcel 199: rho 0.20154535849292962, p-value 0.016200000000000044
parcel 200: rho NA, p-value NA
parcel 201: rho NA, p-value NA
parcel 202: rho NA, p-value NA
parcel 203: rho NA, p-value NA
parcel 204: rho NA, p-value NA
parcel 205: rho NA, p-value NA
parcel 206: rho NA, p-value NA
parcel 207: rho NA, p-value NA
parcel 208: rho NA, p-value NA
parcel 209: rho NA, p-value NA
parcel 210: rho NA, p-value NA
parcel 211: rho NA, p-value NA
parcel 212: rho NA, p-value NA
parcel 213: rho NA, p-value NA
parcel 214: rho NA, p-value NA
parcel 215: rho NA, p-value NA
parcel 216: rho NA, p-value NA
parcel 217: rho NA, p-value NA
parcel 218: rho NA, p-value NA
parcel 219: rho NA, p-value NA
parcel 220: rho NA, p-value NA
parcel 221: rho NA, p-value NA
parcel 222: rho NA, p-value NA
parcel 223: rho NA, p-value NA
parcel 224: rho NA, p-value NA
parcel 225: rho NA, p-value NA
parcel 226: rho NA, p-value NA
parcel 227: rho NA, p-value NA
parcel 228: rho NA, p-value NA
parcel 229: rho NA, p-value NA
parcel 230: rho NA, p-value NA
parcel 231: rho NA, p-value NA
parcel 232: rho 0.17269498917253676, p-value 0.04579999999999998
parcel 233: rho NA, p-value NA
parcel 234: rho NA, p-value NA
parcel 235: rho NA, p-value NA
parcel 236: rho NA, p-value NA
parcel 237: rho NA, p-value NA
parcel 238: rho NA, p-value NA
parcel 239: rho NA, p-value NA
parcel 240: rho NA, p-value NA
parcel 241: rho NA, p-value NA
parcel 242: rho NA, p-value NA
parcel 243: rho NA, p-value NA
parcel 244: rho NA, p-value NA
parcel 245: rho NA, p-value NA
parcel 246: rho NA, p-value NA
parcel 247: rho NA, p-value NA
parcel 248: rho NA, p-value NA
parcel 249: rho NA, p-value NA
parcel 250: rho NA, p-value NA
parcel 251: rho NA, p-value NA
parcel 252: rho NA, p-value NA
parcel 253: rho NA, p-value NA
parcel 254: rho NA, p-value NA
parcel 255: rho NA, p-value NA
parcel 256: rho NA, p-value NA
parcel 257: rho NA, p-value NA
parcel 258: rho NA, p-value NA
parcel 259: rho NA, p-value NA
parcel 260: rho NA, p-value NA
parcel 261: rho NA, p-value NA
parcel 262: rho NA, p-value NA
parcel 263: rho NA, p-value NA
parcel 264: rho NA, p-value NA
parcel 265: rho NA, p-value NA
parcel 266: rho NA, p-value NA
parcel 267: rho NA, p-value NA
parcel 268: rho 0.14327318417074228, p-value 0.11069999999999994
