parcel 104: rho -0.06551087025499044 , p-value 0.9997 
parcel 105: rho -0.09353783142655983 , p-value 0.9998999999999999 
parcel 106: rho -0.05850803418671461 , p-value 0.9997 
parcel 107: rho -0.06810027835672959 , p-value 0.9997 
parcel 108: rho -0.06963366887791536 , p-value 0.9998999999999999 
parcel 109: rho -0.0840686608667027 , p-value 0.9998999999999999 
parcel 110: rho -0.055797456225531734 , p-value 0.9997 
parcel 111: rho -0.09090968133310241 , p-value 0.9998999999999999 
parcel 112: rho -0.08106912031789087 , p-value 0.9998999999999999 
parcel 113: rho -0.14894128253604458 , p-value 1.0 
parcel 114: rho -0.120945978726459 , p-value 1.0 
parcel 115: rho -0.09494614350884988 , p-value 1.0 
parcel 116: rho -0.12198474749124745 , p-value 1.0 
parcel 117: rho -0.1024283021088458 , p-value 1.0 
parcel 118: rho -0.03488093337711608 , p-value 0.9979 
parcel 119: rho -0.05992116248785323 , p-value 0.9997 
parcel 120: rho -0.08966988625689991 , p-value 0.9998999999999999 
parcel 121: rho -0.10475648448699071 , p-value 1.0 
parcel 122: rho -0.06332149298640335 , p-value 0.9997 
parcel 123: rho -0.10923183660976295 , p-value 1.0 
parcel 124: rho -0.05841138823952243 , p-value 0.9997 
parcel 125: rho -0.04869302872136169 , p-value 0.9995 
parcel 126: rho -0.12003969391291568 , p-value 1.0 
parcel 127: rho -0.05074682918869925 , p-value 0.9995999999999999 
parcel 128: rho -0.07400450288614314 , p-value 0.9998999999999999 
parcel 129: rho -0.053870116513554736 , p-value 0.9995999999999999 
parcel 130: rho -0.1115950724339672 , p-value 1.0 
parcel 131: rho -0.07688039979975184 , p-value 0.9998999999999999 
parcel 132: rho -0.05880636173346097 , p-value 0.9997 
parcel 133: rho -0.09768586265391159 , p-value 1.0 
parcel 134: rho -0.13123835690324245 , p-value 1.0 
parcel 135: rho -0.0667863486239851 , p-value 0.9997 
parcel 136: rho -0.09067975747939498 , p-value 0.9998999999999999 
parcel 137: rho -0.057523879184587484 , p-value 0.9997 
parcel 138: rho -0.09732137346679735 , p-value 1.0 
parcel 139: rho -0.09440761148781672 , p-value 1.0 
parcel 140: rho -0.07808933307365372 , p-value 0.9998999999999999 
parcel 141: rho -0.1014937353892261 , p-value 1.0 
parcel 142: rho -0.0830722057463388 , p-value 0.9998999999999999 
parcel 143: rho -0.06368707065318788 , p-value 0.9997 
parcel 144: rho -0.09908804587825604 , p-value 1.0 
parcel 145: rho -0.05936142791883518 , p-value 0.9997 
parcel 146: rho -0.08930029022296869 , p-value 0.9998999999999999 
parcel 147: rho -0.08139795715446513 , p-value 0.9998999999999999 
parcel 148: rho -0.05280581259787392 , p-value 0.9995999999999999 
parcel 149: rho -0.12737751859589813 , p-value 1.0 
parcel 150: rho -0.07637876125737293 , p-value 0.9998999999999999 
parcel 151: rho -0.049512018107112574 , p-value 0.9995999999999999 
parcel 152: rho -0.029488676143053033 , p-value 0.9971 
parcel 153: rho -0.05301687428386879 , p-value 0.9995999999999999 
parcel 154: rho -0.08565999728730421 , p-value 0.9998999999999999 
parcel 155: rho -0.09267761458403599 , p-value 0.9998999999999999 
parcel 156: rho -0.05355134232658355 , p-value 0.9995999999999999 
parcel 157: rho -0.037115330247379244 , p-value 0.9983 
parcel 158: rho 0.023680104429138378 , p-value 0.9667 
parcel 159: rho -0.00043179362799508647 , p-value 0.9882 
parcel 160: rho -0.0011511771536327215 , p-value 0.9887999999999999 
parcel 161: rho -0.025503541204384163 , p-value 0.9963 
parcel 162: rho -0.13645093775067735 , p-value 1.0 
parcel 163: rho -0.04835884093798123 , p-value 0.9995 
parcel 164: rho -0.09346441623468092 , p-value 0.9998999999999999 
parcel 165: rho -0.04085853894733023 , p-value 0.9989 
parcel 166: rho -0.012847940267902922 , p-value 0.9941 
parcel 167: rho -0.039661587888674424 , p-value 0.9986 
parcel 168: rho -0.0837608858481665 , p-value 0.9998999999999999 
parcel 169: rho -0.12653675457430028 , p-value 1.0 
parcel 170: rho -0.13846893482344402 , p-value 1.0 
parcel 171: rho -0.12795531977294552 , p-value 1.0 
parcel 172: rho -0.06739452088213409 , p-value 0.9997 
parcel 173: rho -0.002789288403814103 , p-value 0.9899 
parcel 174: rho -0.062122385138171324 , p-value 0.9997 
parcel 175: rho -0.12716947091446518 , p-value 1.0 
parcel 176: rho -0.08992976656553002 , p-value 0.9998999999999999 
parcel 177: rho -0.07584912708205056 , p-value 0.9998999999999999 
parcel 178: rho -0.07223938171292589 , p-value 0.9998999999999999 
parcel 179: rho 0.07906468924527696 , p-value 0.7968000000000001 
parcel 180: rho 0.0024146467199646117 , p-value 0.9863 
parcel 181: rho -0.08291812295707933 , p-value 0.9998999999999999 
parcel 182: rho -0.12133670304696996 , p-value 1.0 
parcel 183: rho -0.05658927143783344 , p-value 0.9997 
parcel 184: rho -0.05875121415964949 , p-value 0.9997 
parcel 185: rho -0.10461831014097314 , p-value 1.0 
parcel 186: rho -0.051954594679084594 , p-value 0.9995999999999999 
parcel 187: rho -0.07314507289363155 , p-value 0.9998999999999999 
parcel 188: rho -0.07475596733881634 , p-value 0.9998999999999999 
parcel 189: rho -0.06825668456532319 , p-value 0.9998999999999999 
parcel 190: rho -0.04454857946080026 , p-value 0.9992 
parcel 191: rho -0.052241418584084875 , p-value 0.9995999999999999 
parcel 192: rho -0.06309526501281458 , p-value 0.9997 
parcel 193: rho -0.011241168247512822 , p-value 0.9933 
parcel 194: rho -0.10877632654769666 , p-value 1.0 
parcel 195: rho -0.020394357445158197 , p-value 0.9954999999999999 
parcel 196: rho -0.06763796970885992 , p-value 0.9997 
parcel 197: rho -0.002911861895496375 , p-value 0.9899 
parcel 198: rho -0.1274404720977221 , p-value 1.0 
parcel 199: rho -0.06449308102476951 , p-value 0.9997 
